ttf-meslo 1.2.1-3
ttf-montserrat 7.222-2
unrar 1:6.2.12-1
unzip 6.0-20
usbutils 017-1
vim 9.0.2167-1
virt-manager 4.1.0-2
vkd3d 1.10-1
vulkan-radeon 1:23.3.1-1
wayland-protocols 1.32-1
weston 13.0.0-1
wget 1.21.4-1
wine-gecko 2.47.4-1
wine-mono 8.1.0-1
wine-staging 8.21-1
winetricks 20230212-2
wireplumber 0.4.17-1
xdg-desktop-portal-gtk 1.15.1-1
xdg-desktop-portal-kde 5.27.10-1
xdg-user-dirs 0.18-1
xf86-video-amdgpu 23.0.0-1
xorg-fonts-type1 1:1.0.4-1
xorg-server 21.1.10-1
xorg-xinit 1.4.2-1
xsettingsd 1.0.2-1
yakuake 23.08.4-1
yay 12.2.0-1
zip 3.0-11
zsh 5.9-4
zsh-autosuggestions 0.7.0-2
zsh-completions 0.35.0-1
zsh-syntax-highlighting 0.8.0-1
zsh-theme-powerlevel10k 1.19.0-1
